regionName,regionLongName,region,LR,Lobe,broad_lobe,cortex,is_cingulate,regionID
9-46d_R,Area_9-46d_R,9-46d,R,Fr,Frontal,Dorsolateral_Prefrontal,False,286
9a_R,Area_9_anterior_R,9a,R,Fr,Frontal,Dorsolateral_Prefrontal,False,287
10v_R,Area_10v_R,10v,R,Fr,Frontal,Anterior_Cingulate_and_Medial_Prefrontal,True,288
a10p_R,Area_anterior_10p_R,a10p,R,Fr,Frontal,Orbital_and_Polar_Frontal,False,289
10pp_R,Polar_10p_R,10pp,R,Fr,Frontal,Orbital_and_Polar_Frontal,False,290
11l_R,Area_11l_R,11l,R,Fr,Frontal,Orbital_and_Polar_Frontal,False,291
13l_R,Area_13l_R,13l,R,Fr,Frontal,Orbital_and_Polar_Frontal,False,292
OFC_R,Orbital_Frontal_Complex_R,OFC,R,Fr,Frontal,Orbital_and_Polar_Frontal,False,293
47s_R,Area_47s_R,47s,R,Fr,Frontal,Orbital_and_Polar_Frontal,False,294
LIPd_R,Area_Lateral_IntraParietal_dorsal_R,LIPd,R,Par,Parietal,Superior_Parietal,False,295
6a_R,Area_6_anterior_R,6a,R,Fr,Frontal,Premotor,False,296
i6-8_R,Inferior_6-8_Transitional_Area_R,i6-8,R,Fr,Frontal,Dorsolateral_Prefrontal,False,297
s6-8_R,Superior_6-8_Transitional_Area_R,s6-8,R,Fr,Frontal,Dorsolateral_Prefrontal,False,298
43_R,Area_43_R,43,R,Fr,Frontal,Posterior_Opercular,False,299
OP4_R,Area_OP4-PV_R,OP4,R,Par,Parietal,Posterior_Opercular,False,300
OP1_R,Area_OP1-SII_R,OP1,R,Par,Parietal,Posterior_Opercular,False,301
OP2-3_R,Area_OP2-3-VS_R,OP2-3,R,Par,Parietal,Posterior_Opercular,False,302
52_R,Area_52_R,52,R,Ins,Insular,Early_Auditory,False,303
RI_R,RetroInsular_Cortex_R,RI,R,Par,Parietal,Early_Auditory,False,304
PFcm_R,Area_PFcm_R,PFcm,R,Par,Parietal,Early_Auditory,False,305
PoI2_R,Posterior_Insular_Area_2_R,PoI2,R,Ins,Insular,Insular_and_Frontal_Opercular,False,306
TA2_R,Area_TA2_R,TA2,R,Temp,Temporal,Auditory_Association,False,307
FOP4_R,Frontal_Opercular_Area_4_R,FOP4,R,Fr,Frontal,Insular_and_Frontal_Opercular,False,308
MI_R,Middle_Insular_Area_R,MI,R,Ins,Insular,Insular_and_Frontal_Opercular,False,309
Pir_R,Pirform_Cortex_R,Pir,R,Temp,Temporal,Insular_and_Frontal_Opercular,False,310
AVI_R,Anterior_Ventral_Insular_Area_R,AVI,R,Ins,Insular,Insular_and_Frontal_Opercular,False,311
AAIC_R,Anterior_Agranular_Insula_Complex_R,AAIC,R,Ins,Insular,Insular_and_Frontal_Opercular,False,312
FOP1_R,Frontal_Opercular_Area_1_R,FOP1,R,Fr,Frontal,Posterior_Opercular,False,313
FOP3_R,Frontal_Opercular_Area_3_R,FOP3,R,Ins,Insular,Insular_and_Frontal_Opercular,False,314
FOP2_R,Frontal_Opercular_Area_2_R,FOP2,R,Ins,Insular,Insular_and_Frontal_Opercular,False,315
PFt_R,Area_PFt_R,PFt,R,Par,Parietal,Inferior_Parietal,False,316
AIP_R,Anterior_IntraParietal_Area_R,AIP,R,Par,Parietal,Superior_Parietal,False,317
EC_R,Entorhinal_Cortex_R,EC,R,Temp,Temporal,Medial_Temporal,False,318
PreS_R,PreSubiculum_R,PreS,R,Temp,Temporal,Medial_Temporal,False,319
H_R,Hippocampus_R,H,R,Temp,Temporal,Medial_Temporal,False,320
ProS_R,ProStriate_Area_R,ProS,R,Par,Parietal,Posterior_Cingulate,True,321
PeEc_R,Perirhinal_Ectorhinal_Cortex_R,PeEc,R,Temp,Temporal,Medial_Temporal,False,322
STGa_R,Area_STGa_R,STGa,R,Temp,Temporal,Auditory_Association,False,323
PBelt_R,ParaBelt_Complex_R,PBelt,R,Temp,Temporal,Early_Auditory,False,324
A5_R,Auditory_5_Complex_R,A5,R,Temp,Temporal,Auditory_Association,False,325
PHA1_R,ParaHippocampal_Area_1_R,PHA1,R,Temp,Temporal,Medial_Temporal,False,326
PHA3_R,ParaHippocampal_Area_3_R,PHA3,R,Temp,Temporal,Medial_Temporal,False,327
STSda_R,Area_STSd_anterior_R,STSda,R,Temp,Temporal,Auditory_Association,False,328
STSdp_R,Area_STSd_posterior_R,STSdp,R,Temp,Temporal,Auditory_Association,False,329
STSvp_R,Area_STSv_posterior_R,STSvp,R,Temp,Temporal,Auditory_Association,False,330
TGd_R,Area_TG_dorsal_R,TGd,R,Temp,Temporal,Lateral_Temporal,False,331
TE1a_R,Area_TE1_anterior_R,TE1a,R,Temp,Temporal,Lateral_Temporal,False,332
TE1p_R,Area_TE1_posterior_R,TE1p,R,Temp,Temporal,Lateral_Temporal,False,333
TE2a_R,Area_TE2_anterior_R,TE2a,R,Temp,Temporal,Lateral_Temporal,False,334
TF_R,Area_TF_R,TF,R,Temp,Temporal,Medial_Temporal,False,335
TE2p_R,Area_TE2_posterior_R,TE2p,R,Temp,Temporal,Lateral_Temporal,False,336
PHT_R,Area_PHT_R,PHT,R,Temp,Temporal,Lateral_Temporal,False,337
PH_R,Area_PH_R,PH,R,Temp,Temporal,MT+_Complex_and_Neighboring_Visual_Areas,False,338
TPOJ1_R,Area_TemporoParietoOccipital_Junction_1_R,TPOJ1,R,Temp,Temporal,Temporo-Parieto-Occipital_Junction,False,339
TPOJ2_R,Area_TemporoParietoOccipital_Junction_2_R,TPOJ2,R,Par,Parietal,Temporo-Parieto-Occipital_Junction,False,340
TPOJ3_R,Area_TemporoParietoOccipital_Junction_3_R,TPOJ3,R,Par,Parietal,Temporo-Parieto-Occipital_Junction,False,341
DVT_R,Dorsal_Transitional_Visual_Area_R,DVT,R,Par,Parietal,Posterior_Cingulate,True,342
PGp_R,Area_PGp_R,PGp,R,Par,Parietal,Inferior_Parietal,False,343
IP2_R,Area_IntraParietal_2_R,IP2,R,Par,Parietal,Inferior_Parietal,False,344
